PropertyID,PropertyName,PropertyType,Bedrooms,Bathrooms,AreaSqFt,ConstructionYear,Status,LocationID
P001,Lake View 584,Plot,0,0,3733,2024,Available,L005
P002,Lake View 404,Independent House,4,3,1637,2023,Sold,L006
P003,Elite Towers 780,Commercial Office,0,0,3532,2024,Sold,L001
P004,Skyline Heights 300,Plot,0,0,6182,2026,Sold,L008
P005,Urban Nest 668,Villa,3,2,4731,2017,Available,L010
P006,Skyline Heights 906,Independent House,4,3,1238,2019,Available,L009
P007,Green Valley 390,Plot,0,0,6320,2024,Sold,L010
P008,Silver Oak 784,Commercial Office,0,0,2110,2017,Sold,L001
P009,Elite Towers 552,Independent House,3,2,3453,2026,Available,L008
P010,Lake View 830,Commercial Office,0,0,4387,2024,Available,L004
P011,Elite Towers 993,Plot,0,0,3791,2020,Rented,L002
P012,Elite Towers 737,Independent House,3,2,2002,2017,Sold,L005
P013,Prime Heights 680,Commercial Office,0,0,4441,2026,Available,L001
P014,Urban Nest 982,Independent House,2,2,1614,2025,Available,L004
P015,Palm Residency 946,Commercial Office,0,0,5076,2025,Rented,L007
P016,Green Valley 443,Apartment,1,1,1753,2017,Available,L008
P017,Urban Nest 245,Apartment,2,2,733,2022,Rented,L001
P018,Lake View 860,Apartment,1,1,1425,2025,Sold,L005
P019,Silver Oak 578,Plot,0,0,5952,2025,Rented,L008
P020,Palm Residency 117,Villa,3,2,3579,2019,Rented,L008
P021,Palm Residency 767,Commercial Office,0,0,3926,2021,Available,L006
P022,Orchid Homes 373,Independent House,5,4,2548,2021,Rented,L003
P023,Prime Heights 141,Apartment,1,1,789,2021,Available,L001
P024,Skyline Heights 553,Villa,4,3,4705,2015,Sold,L008
P025,Sapphire Towers 390,Commercial Office,0,0,1041,2015,Rented,L002
P026,Elite Towers 728,Commercial Office,0,0,5472,2019,Sold,L010
P027,Urban Nest 465,Apartment,2,2,1002,2021,Rented,L010
P028,Green Valley 575,Plot,0,0,6553,2015,Rented,L008
P029,Sapphire Towers 885,Plot,0,0,3539,2015,Sold,L007
P030,Prime Heights 441,Commercial Office,0,0,4948,2018,Rented,L004
P031,Sapphire Towers 717,Plot,0,0,6107,2021,Available,L003
P032,Skyline Heights 932,Commercial Office,0,0,3473,2021,Rented,L004
P033,Palm Residency 581,Plot,0,0,6875,2026,Available,L010
P034,Prime Heights 369,Villa,6,5,2665,2015,Available,L009
P035,Sapphire Towers 367,Independent House,2,2,2672,2016,Rented,L005
P036,Lake View 405,Villa,4,3,3740,2019,Rented,L010
P037,Orchid Homes 538,Independent House,4,3,2852,2019,Rented,L007
P038,Sapphire Towers 275,Commercial Office,0,0,4352,2026,Sold,L002
P039,Sapphire Towers 786,Villa,6,5,4255,2017,Sold,L004
P040,Urban Nest 587,Villa,4,3,4281,2019,Rented,L006
P041,Silver Oak 592,Plot,0,0,4163,2021,Rented,L010
P042,Lake View 222,Plot,0,0,2110,2023,Sold,L007
P043,Sapphire Towers 634,Plot,0,0,2797,2019,Rented,L008
P044,Elite Towers 495,Villa,6,5,2680,2025,Rented,L008
P045,Prime Heights 473,Commercial Office,0,0,1099,2026,Sold,L010
P046,Lake View 839,Villa,6,5,2803,2017,Available,L010
P047,Silver Oak 433,Plot,0,0,2172,2020,Available,L005
P048,Orchid Homes 990,Villa,4,3,4832,2022,Sold,L002
P049,Green Valley 648,Commercial Office,0,0,1479,2019,Rented,L005
P050,Green Valley 817,Plot,0,0,1298,2022,Available,L008
P051,Urban Nest 126,Independent House,2,2,2306,2017,Available,L009
P052,Sapphire Towers 247,Apartment,3,3,936,2019,Rented,L001
P053,Green Valley 339,Villa,4,3,2891,2023,Available,L009
P054,Green Valley 835,Villa,6,5,2788,2024,Rented,L004
P055,Elite Towers 115,Villa,3,2,4435,2020,Available,L007
P056,Lake View 168,Plot,0,0,3976,2026,Sold,L006
P057,Lake View 668,Apartment,2,2,920,2023,Rented,L006
P058,Palm Residency 628,Plot,0,0,2603,2021,Available,L001
P059,Skyline Heights 190,Independent House,2,2,2583,2017,Sold,L001
P060,Sapphire Towers 978,Commercial Office,0,0,1608,2021,Rented,L003
P061,Green Valley 102,Plot,0,0,5271,2024,Rented,L002
P062,Urban Nest 662,Independent House,3,2,1906,2022,Rented,L002
P063,Silver Oak 302,Plot,0,0,6832,2020,Sold,L003
P064,Orchid Homes 165,Apartment,1,1,1635,2025,Sold,L005
P065,Skyline Heights 753,Plot,0,0,2829,2018,Rented,L005
P066,Prime Heights 762,Independent House,2,2,1924,2026,Available,L006
P067,Orchid Homes 892,Villa,4,3,2314,2015,Sold,L002
P068,Palm Residency 163,Villa,5,4,4180,2018,Rented,L009
P069,Green Valley 429,Commercial Office,0,0,2950,2015,Available,L009
P070,Lake View 529,Apartment,3,3,1529,2016,Rented,L001
P071,Urban Nest 474,Villa,4,3,4579,2016,Available,L005
